"userid","age","gender","relation_status","hometown","living","perference","total_action","sign_up","last_login","total_visits","total_posts","total_time_spend","total_new_friends","totalfriends"
1802,14,0,1,1,1,1,167,"2013-04-09","2013-10-07",11,12,5.59907078109697,5,59
1803,25,0,4,6,6,5,114,"2013-02-06","2013-10-05",7,8,7.80320471314079,4,81
1804,19,0,1,6,6,1,121,"2012-06-13","2013-10-07",6,9,5.76568308103023,1,155
1805,21,0,1,3,3,3,51,"2013-03-05","2013-10-02",3,1,4.04240742581988,1,70
1806,22,1,2,6,1,5,185,"2012-10-11","2013-10-07",15,17,3.08015155027038,4,119
1807,26,0,1,5,5,2,164,"2013-04-09","2013-10-07",13,14,2.86923817767277,2,62
1808,16,1,2,2,2,6,261,"2013-03-09","2013-10-06",10,12,16.573351343808,4,72
1809,16,0,2,5,6,5,226,"2013-04-09","2013-10-07",11,10,10.3894532342012,5,63
1810,16,0,2,4,4,2,218,"2013-04-09","2013-10-07",11,8,7.56325786470022,7,61
1811,20,1,1,1,1,5,300,"2009-09-27","2013-10-07",18,23,3.1753485816454,6,487
1812,28,1,1,4,4,4,70,"2013-04-09","2013-10-07",4,9,5.47275170647016,0,63
1813,20,1,2,1,1,1,420,"2013-01-09","2013-10-07",26,20,10.0348639780983,5,86
1814,13,1,1,2,2,3,1047,"2013-10-05","2013-10-07",17,8,12.9793231315938,43,69
1815,44,1,4,6,6,6,116,"2013-04-09","2013-10-07",9,17,5.04773631988428,4,60
1816,25,0,4,6,6,2,121,"2013-05-08","2013-10-06",8,7,10.1725781752047,2,54
1817,19,0,2,2,2,6,247,"2012-06-13","2013-10-07",12,14,10.1985996962242,6,164
1818,17,0,1,5,6,6,183,"2013-02-08","2013-10-07",9,5,13.932710660336,1,76
1819,18,0,2,1,1,3,297,"2013-02-08","2013-10-07",19,12,9.1285595996213,6,82
1820,12,1,1,4,4,6,342,"2013-03-09","2013-10-06",14,12,8.34658263871155,6,67
1821,20,0,2,3,4,2,405,"2013-02-08","2013-10-07",19,20,10.5896858709368,6,84
1822,28,0,1,6,6,2,279,"2013-04-09","2013-10-07",12,7,9.22371548796004,8,58
1823,29,1,4,2,3,6,194,"2013-04-09","2013-10-07",13,9,7.05058309114068,4,62
1824,19,1,4,6,6,6,319,"2012-11-10","2013-10-07",19,28,3.19642004391485,6,108
1825,29,1,3,5,6,5,108,"2013-04-07","2013-10-05",6,4,7.73059465486599,1,60
1826,18,0,2,3,3,3,123,"2012-10-09","2013-10-05",11,8,3.86372328268653,6,118
1827,20,1,1,2,3,3,117,"2012-11-10","2013-10-07",12,16,2.37708425287108,4,112
1828,12,1,1,3,3,2,137,"2013-04-09","2013-10-07",7,9,13.07192519749,2,55
1829,21,1,4,4,4,3,288,"2013-04-09","2013-10-07",14,13,12.2207970017331,4,61
1830,25,0,2,2,2,1,43,"2013-04-09","2013-10-07",4,3,2.34025427899115,4,61
1831,24,1,2,2,2,3,5040,"2013-10-01","2013-10-07",39,39,16.1423716996076,109,63
1832,13,1,2,4,4,5,113,"2013-04-09","2013-10-07",4,7,7.6116567182622,10,61
1833,8,0,1,5,5,4,173,"2013-04-08","2013-10-06",9,5,9.22058958956702,6,62
1834,17,0,4,2,2,4,67,"2013-04-09","2013-10-07",8,1,2.61674072293497,2,59
1835,23,0,1,4,4,1,254,"2013-03-10","2013-10-07",13,12,11.0899776382301,6,67
1836,16,0,1,4,4,5,486,"2013-02-08","2013-10-07",19,31,14.785391354648,8,77
1837,25,1,2,6,1,6,153,"2011-11-16","2013-10-07",7,10,14.7000247272003,3,233
1838,18,0,2,5,5,5,408,"2013-04-09","2013-10-07",22,24,15.3323367206707,2,55
1839,19,0,1,1,1,2,114,"2013-03-08","2013-10-05",11,6,3.32948922514408,3,67
1840,35,1,4,6,6,4,181,"2013-04-09","2013-10-07",10,14,12.6018729474214,2,65
1841,14,0,2,4,5,3,84,"2013-03-10","2013-10-07",4,3,7.25352771915227,5,73
1842,20,0,2,6,6,4,173,"2012-03-15","2013-10-07",11,11,9.62597099534201,3,189
1843,24,0,1,5,5,5,209,"2013-03-09","2013-10-06",11,10,3.00085495843605,9,72
1844,25,0,1,4,4,3,41,"2013-04-05","2013-10-03",3,1,4.90299310256116,2,60
1845,22,0,1,3,4,1,63,"2012-11-05","2013-10-02",2,1,7.13645823586338,1,112
1846,49,0,4,2,2,6,0,"2013-02-14","2013-08-14",0,0,0,0,60
1847,18,0,2,2,2,2,365,"2012-12-10","2013-10-07",22,16,4.62716420435797,8,96
1848,27,1,3,3,3,6,75,"2013-03-09","2013-10-06",6,1,6.60683025141473,2,73
1849,19,0,1,1,2,2,209,"2013-01-08","2013-10-06",14,12,6.31243700121963,7,90
1850,13,0,1,4,4,5,149,"2013-03-10","2013-10-07",8,18,5.37454464079363,4,69
1851,17,1,1,2,2,1,87,"2013-03-09","2013-10-06",8,7,3.31052539859694,1,71
1852,19,1,1,2,3,3,94,"2011-06-19","2013-10-07",9,12,1.83063597655491,0,280
1853,11,1,1,1,1,3,61,"2013-04-09","2013-10-07",4,3,4.59323961572615,1,59
1854,16,1,1,6,6,5,151,"2013-02-07","2013-10-06",12,10,5.45213510282129,1,85
1855,30,0,1,5,5,1,71,"2013-03-10","2013-10-07",6,12,4.46893262865202,5,73
1856,35,1,1,2,2,3,577,"2013-04-09","2013-10-07",18,16,20.4707179785741,6,57
1857,19,0,1,4,4,2,285,"2012-03-15","2013-10-07",16,11,8.27526529829136,4,186
1858,24,1,1,1,2,5,108,"2013-04-06","2013-10-04",7,5,7.38803973213533,1,64
1859,21,1,1,3,3,3,142,"2013-01-07","2013-10-05",8,6,2.62573553933157,2,94
1860,49,1,4,1,1,2,112,"2013-03-10","2013-10-07",5,8,9.01503586856419,0,66
1861,22,0,1,2,2,3,188,"2013-02-08","2013-10-07",13,7,4.56591246295976,4,81
1862,24,1,2,6,1,5,224,"2013-02-08","2013-10-07",9,9,16.382543340461,3,76
1863,15,1,2,2,2,3,360,"2013-02-08","2013-10-07",12,11,11.1801417728086,12,80
1864,28,0,4,6,6,6,94,"2013-04-09","2013-10-07",9,13,5.53687110924994,1,58
1865,23,1,1,3,3,1,225,"2013-02-07","2013-10-06",13,8,8.39159929845319,5,79
1866,25,1,2,4,4,6,106,"2013-02-08","2013-10-07",5,3,11.0863804058376,3,78
1867,24,1,1,1,1,2,140,"2013-03-09","2013-10-06",7,9,14.9331076521144,2,71
1868,14,0,1,4,4,5,235,"2013-02-07","2013-10-06",7,4,15.4847223987829,5,76
1869,27,1,1,5,5,6,63,"2013-04-04","2013-10-02",6,4,2.13883502629421,3,61
1870,17,1,4,4,5,5,73,"2013-03-10","2013-10-07",4,4,2.66007915856661,1,66
1871,18,0,2,6,6,6,241,"2013-03-10","2013-10-07",10,7,8.85166546589007,10,68
1872,17,1,1,6,6,4,158,"2013-03-10","2013-10-07",8,17,4.16885702738335,5,74
1873,16,0,1,6,6,6,110,"2012-01-15","2013-10-07",7,10,8.67784511487099,3,212
1874,21,0,1,5,5,6,240,"2012-10-11","2013-10-07",12,16,12.5937822905969,4,116
1875,23,1,4,4,4,5,187,"2013-02-08","2013-10-07",10,4,7.4069365133284,4,82
1876,42,0,4,6,6,5,50,"2013-02-06","2013-10-05",4,6,4.05164280317423,1,78
1877,45,0,4,2,2,2,384,"2013-03-10","2013-10-07",15,18,14.5314154251179,6,68
1878,15,0,4,2,2,1,272,"2013-05-09","2013-10-07",16,14,9.5355482812478,4,54
1879,24,1,4,3,3,1,25,"2013-03-07","2013-10-04",1,0,6.45350556239379,1,67
1880,22,0,2,6,6,5,163,"2013-03-09","2013-10-06",9,6,9.35173178542358,2,68
1881,15,0,4,1,1,2,171,"2013-03-10","2013-10-07",11,9,8.2172048954904,4,67
1882,23,0,1,3,3,6,100,"2013-04-09","2013-10-07",5,2,6.31898662168326,5,63
1883,17,1,1,3,3,5,126,"2012-09-11","2013-10-07",8,1,9.04267944258903,2,131
1884,20,0,1,4,4,6,101,"2010-04-25","2013-10-07",5,14,5.34977387355965,3,415
1885,21,1,2,6,6,6,211,"2012-11-10","2013-10-07",9,7,6.67225034622877,2,113
1886,24,1,4,4,5,4,214,"2013-02-08","2013-10-07",12,11,11.4943263904715,4,79
1887,25,0,2,1,2,2,400,"2013-02-08","2013-10-07",21,16,14.0161260271801,3,85
1888,20,1,4,3,3,1,288,"2011-09-17","2013-10-07",23,33,8.33546483683229,1,254
1889,23,1,2,3,3,3,83,"2013-02-08","2013-10-07",6,6,8.91248966619436,2,81
1890,19,1,1,6,6,5,253,"2013-02-08","2013-10-07",13,11,10.791426258824,3,80
1891,24,0,2,2,2,2,75,"2013-04-08","2013-10-06",3,5,10.2813452120773,1,59
1892,22,1,1,1,1,5,183,"2013-02-08","2013-10-07",17,10,7.93903751558876,2,83
1893,19,1,1,2,3,1,294,"2012-09-11","2013-10-07",14,13,16.645648612007,2,133
1894,25,0,4,1,1,1,225,"2013-04-09","2013-10-07",13,12,6.56063279736892,0,56
1895,22,1,2,4,4,4,199,"2013-04-08","2013-10-06",15,12,2.52569864132361,5,62
1896,18,0,2,6,6,4,335,"2012-12-10","2013-10-07",18,27,7.03646016572253,6,103
1897,12,0,1,1,1,3,248,"2013-03-10","2013-10-07",10,7,9.25718091546641,5,72
1898,18,0,4,4,4,6,173,"2013-01-09","2013-10-07",13,14,4.6870392727344,2,92
1899,25,1,2,3,3,2,430,"2013-03-10","2013-10-07",17,25,19.26299244699,4,70
1900,17,1,4,1,2,3,205,"2013-01-09","2013-10-07",13,14,6.77129340731808,7,94
1901,19,0,4,2,3,2,176,"2010-01-25","2013-10-07",12,10,3.9876465420936,6,454
1902,26,0,4,1,1,2,145,"2013-04-09","2013-10-07",7,8,6.03390476737691,4,58
1903,24,0,1,6,6,1,37,"2013-04-08","2013-10-06",2,1,6.51454658027632,1,62
1904,23,1,2,3,3,3,193,"2013-03-10","2013-10-07",11,19,6.20674001881452,6,74
1905,45,1,4,4,4,4,142,"2013-03-10","2013-10-07",8,8,14.1096920543916,2,67
1906,50,0,4,5,5,6,80,"2013-03-10","2013-10-07",9,11,1.79310200711279,2,68
1907,19,0,2,3,3,1,189,"2012-12-09","2013-10-06",8,6,11.4213637105459,3,95
1908,29,1,1,6,6,4,208,"2013-05-09","2013-10-07",9,6,12.8500793843163,4,51
1909,22,0,4,3,3,3,284,"2013-03-10","2013-10-07",13,12,12.5787670395272,5,68
1910,15,0,1,1,1,1,0,"2012-09-15","2013-02-12",0,0,0,0,54
1911,20,1,2,2,2,3,261,"2012-09-11","2013-10-07",12,10,7.36253078586677,6,127
1912,11,1,1,3,3,6,107,"2013-02-08","2013-10-07",6,3,6.45578592303696,3,75
1913,26,0,1,5,5,5,136,"2013-03-09","2013-10-06",7,11,7.2910131724975,6,68
1914,13,0,4,3,3,1,109,"2013-03-10","2013-10-07",6,9,4.64450494935502,3,66
1915,36,1,4,1,1,2,58,"2013-04-09","2013-10-07",7,6,2.12120278278987,2,64
1916,21,1,2,1,1,6,100,"2010-12-21","2013-10-07",6,10,7.1487936885686,2,343
1917,19,1,4,1,1,4,419,"2012-04-14","2013-10-07",22,13,8.57125611476453,10,183
1918,24,1,2,3,3,3,205,"2013-02-08","2013-10-07",12,4,1.01754497491281,5,75
1919,11,1,1,2,3,2,68,"2013-04-08","2013-10-06",5,6,6.69300815338802,1,63
1920,20,0,1,1,1,4,401,"2012-12-10","2013-10-07",17,20,15.8970157739918,3,105
1921,25,0,4,4,4,5,149,"2013-04-09","2013-10-07",10,14,8.02474484298192,5,63
1922,28,0,2,1,1,1,146,"2013-03-10","2013-10-07",7,6,8.30980107850595,3,72
1923,13,1,1,3,4,1,62,"2013-04-08","2013-10-06",5,6,4.96110225626746,4,63
1924,19,1,1,3,3,3,91,"2012-08-12","2013-10-07",8,5,3.05060901373624,2,144
1925,32,0,4,1,2,4,152,"2013-03-10","2013-10-07",11,9,7.05668887961052,3,69
1926,21,0,2,6,1,4,176,"2013-02-08","2013-10-07",12,4,3.30772287908091,8,77
1927,46,0,4,2,2,2,53,"2013-04-09","2013-10-07",4,2,5.17809586474472,0,62
1928,29,1,4,6,6,4,123,"2013-04-09","2013-10-07",4,4,9.15261186862077,6,63
1929,22,0,4,3,4,3,4680,"2013-10-02","2013-10-07",43,42,23.512517242584,82,112
1930,17,0,2,4,5,4,160,"2010-12-21","2013-10-07",12,13,6.24862665976267,1,335
1931,29,0,4,1,1,3,223,"2013-05-09","2013-10-07",11,13,12.5668654475531,1,50
1932,29,1,4,1,1,2,386,"2013-03-10","2013-10-07",18,17,11.9719849665249,7,70
1933,17,1,2,3,3,2,103,"2013-04-08","2013-10-06",5,4,7.73533742457585,1,56
1934,27,1,2,5,5,4,59,"2012-12-09","2013-10-06",4,3,5.53894483210464,2,105
1935,24,1,4,3,3,3,64,"2013-02-08","2013-10-07",3,1,6.37428753043392,3,77
1936,20,1,2,3,3,4,77,"2012-08-12","2013-10-07",12,7,4.09726772448195,0,138
1937,19,0,2,2,3,2,304,"2013-03-10","2013-10-07",13,12,12.8001365862818,4,67
1938,20,1,2,5,5,6,277,"2010-03-25","2013-10-06",11,7,11.8563100280329,1,433
1939,27,1,1,5,5,2,2878,"2013-10-03","2013-10-07",29,23,21.3797646351087,76,65
1940,15,1,4,5,5,3,339,"2013-02-08","2013-10-07",16,20,9.55228746750069,10,76
1941,15,0,1,5,5,3,291,"2013-03-10","2013-10-07",11,18,10.6541867419047,7,67
1942,35,0,4,6,6,4,306,"2013-03-10","2013-10-07",14,17,12.9153137186274,5,69
1943,22,0,4,6,6,6,120,"2013-03-10","2013-10-07",7,8,5.92832684843917,3,74
1944,30,1,1,5,6,4,41,"2013-05-06","2013-10-04",3,4,2.29911356725367,2,49
1945,25,0,1,3,4,1,274,"2013-03-10","2013-10-07",9,11,22.0126594046522,4,68
1946,50,0,1,4,4,4,49,"2013-03-09","2013-10-06",4,2,1.32083739443966,1,66
1947,25,0,2,3,4,1,227,"2013-05-09","2013-10-07",10,9,7.92245168719246,7,53
1948,22,1,2,2,2,3,43,"2012-08-11","2013-10-06",7,5,1.97143347338726,1,135
1949,19,0,2,1,2,5,350,"2012-10-11","2013-10-07",19,23,11.6821654913677,4,119
1950,25,0,3,4,4,2,236,"2013-03-10","2013-10-07",16,23,9.47526012772995,2,67
1951,18,1,2,4,5,5,191,"2012-12-08","2013-10-05",7,7,16.2753407232758,0,99
1952,20,0,2,2,2,3,420,"2013-10-06","2013-10-07",12,9,5.07472601354038,24,259
1953,16,1,1,3,3,1,75,"2013-04-09","2013-10-07",7,8,7.87179864903277,0,62
1954,16,0,1,5,6,3,255,"2013-04-09","2013-10-07",8,6,23.4326613761794,4,59
1955,25,0,1,4,4,5,200,"2013-03-07","2013-10-04",8,11,10.6391357600409,5,68
1956,23,0,1,2,2,3,96,"2013-02-08","2013-10-07",5,4,8.26075630551466,3,75
1957,24,1,2,3,3,3,616,"2013-05-09","2013-10-07",21,17,21.5732604352547,2,51
1958,18,1,2,6,6,5,338,"2013-04-09","2013-10-07",16,11,8.52365307136287,8,56
1959,17,0,2,6,6,2,99,"2013-01-09","2013-10-07",6,3,3.5251911999425,4,87
1960,15,0,2,1,1,3,265,"2013-02-08","2013-10-07",12,17,13.1835966830131,7,80
1961,27,0,4,4,4,6,55,"2013-04-07","2013-10-05",6,5,2.45350325268666,1,55
1962,16,1,1,6,1,5,247,"2013-03-10","2013-10-07",8,10,8.29143345796675,7,69
1963,18,1,1,5,5,4,292,"2013-03-10","2013-10-07",23,30,4.97457338415379,5,67
1964,19,0,1,5,5,5,233,"2013-05-09","2013-10-07",18,10,4.31192794047798,4,51
1965,19,1,4,5,5,4,65,"2013-01-09","2013-10-07",6,10,1.28579352459712,1,87
1966,44,0,1,1,2,3,149,"2013-03-08","2013-10-05",8,8,12.1540397519424,3,68
1967,17,1,4,5,5,3,344,"2013-03-10","2013-10-07",16,17,6.81409690594757,10,73
1968,13,1,2,6,6,5,248,"2013-03-10","2013-10-07",11,11,14.5983909220401,2,71
1969,26,1,4,5,5,3,67,"2013-03-07","2013-10-04",6,7,1.60804363950843,3,66
1970,22,1,1,5,5,4,178,"2013-04-09","2013-10-07",11,8,5.18066445276984,6,61
1971,27,0,2,3,3,6,69,"2013-04-09","2013-10-07",7,4,2.92268463859927,2,58
1972,23,1,2,1,1,3,147,"2013-04-09","2013-10-07",7,5,8.80632617599566,4,61
1973,20,1,2,4,4,3,0,"2012-05-24","2013-06-19",0,0,0,0,129
1974,24,0,3,4,5,2,137,"2013-03-10","2013-10-07",10,19,6.11449541124795,3,69
1975,26,0,1,3,3,6,29,"2013-04-09","2013-10-07",4,3,2.21862140634,1,62
1976,36,0,4,2,2,3,300,"2013-03-10","2013-10-07",15,15,7.90962168232566,5,69
1977,22,1,2,6,6,5,617,"2013-02-08","2013-10-07",22,20,19.1391978152962,2,78
1978,21,0,2,1,1,2,390,"2013-02-08","2013-10-07",25,27,9.02092375780803,5,75
1979,9,0,4,4,5,6,294,"2013-05-09","2013-10-07",13,7,4.40327891030713,6,51
1980,14,0,4,4,4,6,149,"2013-03-10","2013-10-07",9,13,7.66615385918565,3,69
1981,26,0,4,4,4,5,66,"2013-03-10","2013-10-07",7,7,7.48357031281671,2,68
1982,22,0,1,2,2,5,273,"2013-02-08","2013-10-07",12,7,16.1693714408236,4,78
1983,25,0,1,1,1,2,89,"2013-04-09","2013-10-07",6,5,3.41364113870954,3,62
1984,16,0,2,1,1,2,339,"2013-04-09","2013-10-07",16,7,8.48206153485036,9,57
1985,28,1,4,1,1,5,116,"2013-03-10","2013-10-07",6,8,10.1769670140365,5,70
1986,24,0,1,2,2,2,147,"2013-05-09","2013-10-07",8,5,6.50869914133142,6,50
1987,22,1,1,2,2,2,134,"2013-05-09","2013-10-07",9,13,7.19306813746657,4,54
1988,15,1,2,5,5,2,264,"2013-02-08","2013-10-07",8,6,11.2909404279427,3,75
1989,26,0,2,6,6,5,102,"2013-03-09","2013-10-06",8,8,5.59540135163943,4,73
1990,23,1,1,4,4,6,174,"2013-04-09","2013-10-07",8,15,11.5355461777292,3,55
1991,15,0,1,4,4,6,167,"2013-02-08","2013-10-07",12,7,7.77129547308783,2,78
1992,24,0,4,2,2,3,98,"2013-03-10","2013-10-07",7,5,4.11521281984765,1,73
1993,17,0,1,2,2,2,383,"2013-03-10","2013-10-07",12,10,24.6401000932603,1,67
1994,18,0,2,6,1,4,263,"2012-08-12","2013-10-07",18,23,7.91842344092505,3,137
1995,21,0,1,1,1,2,264,"2012-11-10","2013-10-07",13,15,13.3927197605012,1,111
1996,19,0,1,5,5,5,195,"2013-03-10","2013-10-07",9,7,16.9126881114962,1,66
1997,43,1,1,6,6,1,118,"2013-04-09","2013-10-07",9,6,7.10265818414725,2,59
1998,17,1,1,5,5,5,257,"2013-03-10","2013-10-07",11,5,14.4297270905542,0,73
1999,41,0,1,6,6,4,40,"2013-04-09","2013-10-07",4,6,1.33936917049409,3,56
2000,24,0,3,4,5,6,120,"2013-04-09","2013-10-07",6,5,9.05622417661265,1,61
2001,31,1,3,5,5,6,212,"2013-05-08","2013-10-06",8,8,16.8229902668963,5,48
2002,21,1,1,1,1,4,332,"2011-08-18","2013-10-07",13,19,12.0010050251482,9,264
2003,46,1,4,1,1,1,273,"2013-04-09","2013-10-07",9,13,18.7088290179886,8,57
2004,26,0,4,1,1,2,96,"2013-02-08","2013-10-07",7,9,8.14605626174549,1,77
2005,44,1,4,4,5,1,117,"2013-06-06","2013-10-05",6,3,5.86809831578007,6,44
2006,18,0,2,2,2,3,2110,"2013-10-04","2013-10-07",27,27,20.1817328576496,58,114
2007,22,0,1,2,2,3,352,"2012-08-12","2013-10-07",18,13,10.3732143528853,4,141
2008,18,0,2,5,5,6,586,"2012-11-10","2013-10-07",20,26,17.1252488571653,5,111
2009,10,1,1,3,3,3,550,"2013-03-10","2013-10-07",14,14,15.9609173298843,14,66
2010,34,0,4,2,2,2,172,"2013-04-09","2013-10-07",10,13,7.58996722308201,5,63
2011,26,1,1,6,6,6,419,"2013-03-10","2013-10-07",13,18,22.3602121724529,4,72
2012,21,0,2,6,6,1,437,"2010-02-24","2013-10-07",12,12,22.0026278654846,11,443
2013,12,0,1,1,1,1,63,"2013-03-09","2013-10-06",4,3,3.75130381292363,2,71
2014,22,1,4,2,2,6,139,"2012-04-12","2013-10-05",8,6,8.93219306526783,6,180
2015,20,1,4,3,3,1,789,"2010-04-25","2013-10-07",28,18,13.6981041161625,13,425
2016,27,1,4,2,2,6,79,"2013-03-10","2013-10-07",5,4,3.18907716053432,4,69
2017,40,0,4,4,4,4,159,"2013-04-09","2013-10-07",10,10,4.43253080197144,7,58
2018,17,1,1,1,1,2,179,"2012-06-13","2013-10-07",11,17,10.3472227845768,4,164
2019,21,1,1,5,5,6,271,"2013-04-09","2013-10-07",16,19,8.87045325769874,5,64
2020,25,1,2,6,1,4,201,"2013-03-10","2013-10-07",11,19,8.12627693115074,3,66
2021,19,0,2,4,4,6,106,"2012-09-11","2013-10-07",6,11,8.6651613981121,1,133
2022,13,1,2,4,4,6,114,"2013-03-09","2013-10-06",8,12,5.73872862463035,4,70
2023,20,1,1,4,4,6,145,"2013-02-07","2013-10-06",16,27,6.38203777487254,1,76
2024,13,1,2,5,6,6,140,"2013-03-09","2013-10-06",6,5,7.74213461987572,5,74
2025,49,1,4,4,4,4,138,"2013-03-10","2013-10-07",13,15,4.82463679650867,3,70
2026,47,0,1,6,6,3,271,"2013-06-07","2013-10-06",14,11,10.0634244686976,4,45
2027,27,0,4,4,4,6,302,"2013-03-10","2013-10-07",14,14,15.7960076919187,0,70
2028,24,1,4,1,1,2,219,"2013-03-10","2013-10-07",12,11,10.9714847677454,5,66
2029,19,0,2,6,1,3,74,"2010-09-21","2013-10-06",7,5,3.62605415469905,2,373
2030,20,0,1,3,3,1,384,"2010-12-20","2013-10-06",14,12,7.86685295360212,10,339
2031,17,0,1,6,6,6,94,"2013-04-07","2013-10-05",5,5,7.29804663372802,2,60
2032,18,0,1,1,1,3,225,"2012-12-09","2013-10-06",12,7,7.0785370579841,6,100
2033,21,1,2,5,5,1,221,"2012-07-13","2013-10-07",11,20,10.5775788470331,3,146
2034,24,0,1,2,2,5,62,"2013-04-09","2013-10-07",4,1,2.64541342440032,2,63
2035,20,1,1,6,6,4,448,"2011-09-17","2013-10-07",24,15,8.35399467457812,7,246
2036,16,1,1,5,5,2,140,"2013-04-08","2013-10-06",10,15,11.4469452190645,0,63
2037,16,0,2,4,5,5,160,"2013-03-10","2013-10-07",11,9,4.0125683203959,7,66
2038,23,0,1,2,2,3,37,"2013-04-08","2013-10-06",2,3,1.08567134522219,1,63
2039,21,1,2,6,6,6,205,"2011-04-20","2013-10-07",11,8,8.51498437949301,4,303
2040,30,0,4,5,5,6,7634,"2013-10-01","2013-10-07",55,43,22.1955264947912,114,64
2041,24,0,2,6,6,5,111,"2013-05-04","2013-10-02",9,14,1.80029626167379,3,52
2042,14,1,1,2,3,1,15,"2013-04-06","2013-10-04",1,0,0.545010480307345,1,59
2043,16,1,1,5,5,5,114,"2013-03-10","2013-10-07",11,8,3.34514526451624,4,73
2044,22,0,1,4,5,5,568,"2013-04-09","2013-10-07",19,19,17.6728942868066,9,64
2045,22,0,1,4,4,3,243,"2013-01-09","2013-10-07",19,16,5.30179942147023,2,86
2046,23,1,1,4,4,5,288,"2012-12-09","2013-10-06",10,6,17.0554707992783,9,99
2047,41,1,4,3,3,1,100,"2013-05-09","2013-10-07",7,4,4.21410055689742,3,51
2048,27,0,2,2,2,1,208,"2013-05-09","2013-10-07",14,15,9.65687066064055,4,53
2049,20,1,2,5,5,5,272,"2009-08-28","2013-10-07",16,13,9.29196504780789,3,498
2050,31,1,4,1,1,6,229,"2013-05-09","2013-10-07",15,23,10.6577446708462,2,50
2051,21,0,2,6,1,6,342,"2013-01-09","2013-10-07",15,10,7.27034299845218,7,93
2052,22,1,2,3,4,3,134,"2013-03-09","2013-10-06",9,5,6.62216190350446,2,72
2053,21,0,2,1,1,4,151,"2013-03-08","2013-10-05",7,5,7.48157303110902,5,70
2054,18,0,1,6,6,4,196,"2010-08-23","2013-10-07",11,14,5.22883397180995,4,384
2055,19,1,4,6,1,6,570,"2010-04-24","2013-10-06",20,30,17.6263234112691,6,424
2056,26,1,1,3,4,5,149,"2013-04-09","2013-10-07",8,11,7.71202009950246,4,64
2057,37,0,4,2,2,2,261,"2013-03-09","2013-10-06",12,10,5.97869517397549,9,68
2058,11,0,1,4,5,4,56,"2013-02-08","2013-10-07",7,12,3.61865468972707,1,76
2059,16,1,1,2,3,4,100,"2013-02-06","2013-10-05",6,7,2.37849270217868,4,75
2060,18,0,2,5,5,6,280,"2012-11-10","2013-10-07",11,15,9.94728378072819,8,106
2061,18,1,1,1,1,1,139,"2013-01-06","2013-10-04",5,6,11.7248508201693,3,87
2062,17,1,4,5,5,2,103,"2013-02-08","2013-10-07",7,8,4.67302503941523,2,83
2063,17,1,1,6,1,5,89,"2013-03-10","2013-10-07",4,1,9.79634138780264,1,74
2064,24,1,1,4,4,2,228,"2012-09-11","2013-10-07",11,10,11.7671152258667,2,129
2065,20,1,1,1,1,6,71,"2012-12-05","2013-10-02",4,2,0.529592798652089,1,95
2066,19,0,1,1,2,1,474,"2011-06-18","2013-10-06",13,17,24.3066789447202,3,282
2067,23,0,2,4,5,6,97,"2009-12-25","2013-10-06",7,11,2.35845612079128,5,457
2068,45,1,4,5,5,5,222,"2013-05-09","2013-10-07",10,8,10.5557320732835,5,47
2069,19,1,1,1,1,1,302,"2012-05-14","2013-10-07",18,15,5.45793437108019,10,170
2070,22,1,2,6,6,6,413,"2012-12-10","2013-10-07",16,5,9.9534157252889,7,96
2071,17,0,1,5,5,4,136,"2013-04-09","2013-10-07",7,8,9.79977421733375,2,63
2072,22,1,1,2,2,1,201,"2012-08-11","2013-10-06",16,14,5.32362895253091,6,139
2073,17,0,2,5,6,4,109,"2013-02-08","2013-10-07",6,5,6.61030060889641,4,80
2074,17,0,4,6,6,6,29,"2013-03-09","2013-10-06",4,3,5.03501499172535,1,70
2075,24,1,2,6,1,5,263,"2013-04-09","2013-10-07",13,9,6.89958121929646,5,64
2076,23,1,1,1,2,2,155,"2013-02-08","2013-10-07",8,4,6.40795700053736,5,75
2077,16,1,2,4,5,5,283,"2013-04-09","2013-10-07",11,9,13.0183472516766,8,64
2078,14,1,2,2,2,2,139,"2013-04-09","2013-10-07",8,4,3.27156438659317,4,63
2079,29,0,1,5,5,5,113,"2013-03-10","2013-10-07",6,6,3.45910926577566,5,66
2080,29,0,2,3,3,2,328,"2013-05-08","2013-10-06",15,12,12.0264035404185,5,54
2081,20,1,2,6,6,5,158,"2011-03-20","2013-10-06",17,15,7.01076341680731,1,311
2082,35,0,4,2,2,1,37,"2013-04-09","2013-10-07",3,3,2.20986430100109,1,59
2083,25,0,3,3,4,2,116,"2013-02-07","2013-10-06",9,10,6.73767494623892,2,82
2084,23,1,4,5,5,4,212,"2013-02-08","2013-10-07",7,11,10.9224429079711,4,77
2085,20,0,2,4,4,4,233,"2009-11-24","2013-10-05",14,15,6.31208903448636,4,467
2086,19,0,1,3,3,2,262,"2012-07-13","2013-10-07",13,16,13.6578857994552,6,152
2087,17,0,1,2,2,1,65,"2013-02-07","2013-10-06",6,8,6.55449951722864,1,75
2088,13,0,1,4,4,4,150,"2013-04-08","2013-10-06",11,13,7.9224127623966,3,56
2089,21,0,2,6,6,4,171,"2010-03-26","2013-10-07",14,12,2.32497691806706,2,433
2090,12,0,4,2,3,4,197,"2013-04-09","2013-10-07",9,5,6.9262315717247,5,56
2091,15,1,2,2,2,3,39,"2013-03-10","2013-10-07",3,6,0.401960034682222,7,66
