"Date","City","State","Shape","Duration","Summary","Poster"
2011-10-11,"Holden Beach","NC","Circle","30 seconds","6 orange balls of light over the Atlantic ocean.","10/19/11"
2011-10-11,"New Bedford","MA","Circle","minutes","At least 25 orange and red fireballs fly over New Bedford, MA, USA","12/12/11"
2011-10-10,"North Platte","NE","Circle","3 seconds","Object over North Platte Nebraska","12/12/11"
2011-10-10,"York","PA","Circle","15 seconds","BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY, MAKING NO SOUND, THEN DISAPPEARS","10/19/11"
2011-10-10,"Ashville","NY","Circle","1 minutes","Amber object in night sky during full moon, or the day before full moon","10/19/11"
2011-10-10,"Farmington","NM","Circle","5 minutes","Single reddish circle  in the sky that wasn't jet nor satelitte","8/30/13"
2011-10-09,"New Bedford","MA","Circle","28 minutes","We saw many orange fireballs fly over New Bedford, MA.","12/12/11"
2011-10-08,"Redondo Beach","CA","Circle","7 minutes.","7 spherical orange lights/UFO's w/ rectangular aura sighted in night sky at Redondo Beach, Ca.  10-8-11 at  23:58","10/19/11"
2011-10-08,"Snowmass VIllage","CO","Circle","3 minutes","Reddish, round object in Southeast sky in Snowmass Village, CO","10/10/11"
2011-10-07,"Topsail Beach","NC","Circle","3 minutes","Glowing orange ball about 5' diameter observed at Topsail beach at roof top level..changed shape .elevated, then left","10/10/11"
2011-10-07,"Louisville","KY","Circle","5","Louisville, Kentucky 5 minutes","10/10/11"
2011-10-07,"New Braunfels","TX","Circle","3 minute","Amazing blue silvery saucer type object -amazingly beautiful","12/12/11"
2011-10-06,"Saint Petersburg","FL","Circle","45 minutes","It was circular and moved without restriction in the air and just watched things. ((NUFORC Note:  We suspect a \"twinkling\" star.  PD))","12/12/11"
2011-10-06,"Flowery Branch","GA","Circle","2 minutes","A quiet red ball flying overhead at moderate speed over North East Georgia","10/10/11"
2011-10-06,"Grants Pass (just outside Merlin)","OR","Circle"," 2 minute","Black object move across cloudy night sky","10/19/11"
2011-10-05,"Lake Elsinore","CA","Circle","2 minutes","Red lighted UFO flying over Ortega Mountains, Lake Elsinore side","10/10/11"
2011-10-05,"Independence","MO","Circle","less than 40 seconds","Glowing, pulsating, orange orb, silent, low to the ground, shot away at amazing speed","10/10/11"
2011-10-05,"Enid","OK","Circle","30 seconds","Object tracked from north to south high in sky, became bright, stopped in mid flight and disappeared.","10/10/11"
2011-10-04,"Philadelphia","PA","Circle","2 minute","Two Circle Ufo's Flying At Extream Speeds","10/10/11"
2011-10-03,"Crosby","TX","Circle","30 minute","We saw two lights when we turned onto the road and they seemed to be right over each other. After we pulled over and took a picture thr","10/10/11"
2011-10-03,"Prince Rupert (Canada)","BC","Circle","2 minutes","Circle shape.prince rupert","10/10/11"
2011-10-03,"Fresno","CA","Circle","4 minute","Circle of bright lights hovering slowly and than disappearing.","10/10/11"
2011-10-02,"Mayaguez (Puerto Rico)","WV","Circle","2 minute","((HOAX??))  Sighting occurred at an alt. approx.  of 3000' above sea level in mid valley. Obj. was emitting a bright orange light.","10/10/11"
2011-10-02,"Battle Creek","MI","Circle","5 minutes","Bright white circular craft flying fast above the clouds until it disappeared.","10/10/11"
2011-10-01,"Clinton","MS","Circle","5 minutes.","Jet and object flying side by side","10/10/11"
2011-10-01,"Cabot/Lonoke","AR","Circle","1+ hrs","A bright object sighted above our house that moves back and forth slowly and hovers.  ((NUFORC Note:  Possible star?  PD))","10/10/11"
2011-09-30,"Ames","IA","Circle","Continued after viewing,","White bright orb, (circular) craft in eastern sky, slow moving, at times still. Much brighter than any star, or planet, silent.","10/10/11"
2011-09-30,"North Bergen","NJ","Circle","5 seconds","U.F.O.  observation.","12/12/11"
2011-09-29,"Myrtle Beach","SC","Circle","10 seconds","4 orange/yellow circular shapes spotted in Myrtle Beach","10/10/11"
2011-09-29,"Preston","","Circle","45 minute","Bright  circular light slow moving then dissapearing at speed","10/10/11"
2011-09-28,"Sultan","WA","Circle","45 seconds","with regular 7x35mm binoculars and spotted it directly above us, way up in the sky traveling from West to East white ball type circle","10/10/11"
2011-09-28,"Bunn","NC","Circle","1 secondsond","Orange ball of light in sky","10/10/11"
2011-09-28,"Stayton","OR","Circle","1 hour +","Round Obj. with green, red, yellow, blue & white lights moving E to W for over an hour.  ((NUFORC Note:  Star, perhaps Sirius?  PD))","10/10/11"
2011-09-28,"St. Simons Island","GA","Circle","1 hr","Sighting of two UFOs at the same time (bright objects darting in the sky late at night).","10/10/11"
2011-09-28,"Interstate 40","NM","Circle","14:30","White UFO Over New Mexico And Texas","12/12/11"
2011-09-27,"Cary","NC","Circle","5+ hours","Typical looking illuminating object very similar to the ones seen in the NASA STS-75 videos. ((NUFORC Note:  Possible star?  PD))","10/19/11"
2011-09-27,"Eugene","OR","Circle","10 minutes","Five fiery lights/dark circular objects seen by young couple in Eugene, OR.","10/10/11"
2011-09-25,"Marcell","MN","Circle","60 seconds","Brilliant bright white light that seemed to be floating across the sky and then suddenly disappeared.","10/10/11"
2011-09-24,"Amarillo","TX","Circle","hour","Two bright flashing round objects moveing in all directions then stoping ubruptly","10/10/11"
2011-09-24,"St. Augustine","FL","Circle","20 minute","A SPINNING CIRCLE THAT HAD LIGHT ON IT THAT CHANGED COLORS.  ((NUFORC Note:  We suspect a sighting of a twinkling star.  PD))","10/10/11"
2011-09-23,"Miami","FL","Circle","1 minute","I turned around and glanced up at the black sky and saw a white round object larger than a normal star sloping down very slowly. I thou","10/10/11"
2011-09-22,"Harleysville","PA","Circle","4 minutes","5 orange/ yellow light over Harleysville Pa","10/10/11"
2011-09-22,"Mulino","OR","Circle","3 minute","circle/ red/orange differnt color lights spun","10/10/11"
2011-09-21,"Walsall (UK/England)","","Circle","2 minutes","Bright orange craft, moving across the sky","8/5/12"
2011-09-21,"Brantford (Canada)","ON","Circle","5 minutes","VERY LARGE CIRCULAR CRAFT WITH NO SOUND","10/10/11"
2011-09-20,"Flagstaff","AZ","Circle","55 minutes","shining red and blue light in western sky, circular, ring, spinning","10/10/11"
2011-09-20,"Encino","","Circle","30'","Object by pulse shine and wavy direction","10/10/11"
2011-09-19,"Tucson","AZ","Circle","5 minutes","UFO sighting Tucson, AZ, Sept 19, 2011 at 8:30 pm","10/10/11"
2011-09-18,"Pitman","NJ","Circle","seconds","Sat night, 9/17/11 Pitman and Washington twp NJ, light comes down to earth and then shoots back up on an angle.","10/10/11"
2011-09-18,"Hayward","CA","Circle"," 30 minutes","Bright, non wavering light. solid circle.  ((NUFORC Note:  Possible star??  PD))","10/10/11"
2011-09-18,"La Barge","WY","Circle","15 minutes","Strange object in the mountains of western wyoming wittnessed on 3 consecutive years on almost the same exact day every year.","5/29/12"
2011-09-18,"Alpine","UT","Circle","3 minutes","Red, circular object floating above Alpine, Utah...STRANGE!","10/10/11"
2011-09-18,"San Tan Valley","AZ","Circle","ongoing","Looks like a small bright moon.","10/10/11"
2011-09-17,"Montevrain (France)","","Circle","12 minute","Definitely not conventional aircraft","10/10/11"
2011-09-17,"Defiance","MO","Circle","2 minutes","Strange lights over Defiance","10/10/11"
2011-09-17,"St. Augustine","FL","Circle","3 seconds","White ball of light shot up from behind trees in heavy wooded area on St Rd 16/95 in St Augustine","10/10/11"
2011-09-17,"Monticello","IN","Circle","5 minutes","Two bright orange/red circles spotted in Monticello, IN -  (Shaffer / Big Monon Lake) - lasting 5 minutes","10/10/11"
2011-09-17,"Fort Worth","TX","Circle","2 minutes","Red LED lite @ incredible speed, approached saw circular sheer curtain of opalecent color 6 rays glowed around circle","10/10/11"
2011-09-16,"Provincetown","MA","Circle","10 minutes","Immense golden light over Provincetown harbor returned  three more times  in 12-15 minutes","8/19/12"
2011-09-16,"Ramsey","MN","Circle","1 minutes","Ball of Fire over Ramsey, MN seen by 2.","10/10/11"
2011-09-16,"Odenton","MD","Circle","3 minutes","2 Clockwise Rotating Lights around each other.  ((NUFORC Note:  Possibly an advertising or display light??  PD))","10/10/11"
2011-09-14,"Cave Creek","AZ","Circle","30 seconds","Three amber/yellow lights in triangle formation seen in Arizona night sky, then disappeared.","10/10/11"
2011-09-13,"Belleville","IL","Circle","4 seconds","a quick moving fire ball in the sky.","10/10/11"
2011-09-12,"Casper","WY","Circle","45 minute","It Was circular and had red green blue and purple lights.  ((NUFORC Note:  Possible sighting of a twinkling star??  PD))","10/10/11"
2011-09-12,"Vancouver","WA","Circle","6 minutes","Purple Light, Brightness changing","10/10/11"
2011-09-12,"La Porte","TX","Circle","5 minutes","Bright white circular object flying around in broad daylight","10/10/11"
2011-09-11,"Senatobia","MS","Circle","5 seconds","Large white light moving at helicopter speed, no sound, totaling a distance of about 6\" from viewing point before disappearing.","10/10/11"
2011-09-11,"Oak Lawn","IL","Circle","5 minutes","Two round orange with white flaming lights on top","10/10/11"
2011-09-10,"Oakville (Canada)","ON","Circle","45 minutes","3 red lights. hovering in sky,","10/10/11"
2011-09-10,"Landers","CA","Circle","seconds","This video was taken while trying to capture lightening strikes over the high desert near Twentynine palms Marine base. A red light app","10/10/11"
2011-09-10,"West Yarmouth/Lewis Bay","MA","Circle","2'","12-15+ orange lights silently moving over Lewis Bay","10/10/11"
2011-09-10,"Seattle","WA","Circle","1 minuteuet","orange Chinese lanterns fly in formation over large party over 50 kids and adults witness","10/10/11"
2011-09-10,"Harrison","ME","Circle","10 minutes","Yellowish/red spheres observed off to the southwest about  9:30 PM on 9/10/11?","10/10/11"
2011-09-10,"Millbrook (Canada)","ON","Circle","10 minute","approximately 20 orange circles heading from west to east & then going up & disappearing","10/10/11"
2011-09-10,"Baraboo","WI","Circle","21 minute","Several sightings in one night in same area...","10/10/11"
2011-09-10,"Everett","WA","Circle","7 minutes","12-20 orange orbs float and fade away seen by 2 witnesses .","10/10/11"
2011-09-10,"Falls","PA","Circle","2 hours","Red,  White, Blue, Lights in sky over PA, Falls","10/10/11"
2011-09-10,"Buffalo","NY","Circle","3 minute","My husband was on the back deck and called for me to come out and up in the sky was two orange dots following each other then the first","10/10/11"
2011-09-10,"Glenwood","NJ","Circle","1:00minute","Saw a amber sphere traveling from west to east, stop it's flight and change direction away from the planet and faded away.","10/10/11"
2011-09-09,"Rochester","NY","Circle","1minute","Amber/orange balls 1 following the other changeing direction at unbeliveabley fast speeds","5/13/12"
2011-09-08,"Claymont","DE","Circle","2:00","45 minutes long and watched us","10/10/11"
2011-09-07,"Cedar Lake","IN","Circle","20seconds","orangish circular shaped object multiple sightings 1 craft over a few weeks","10/10/11"
2011-09-05,"Miami","FL","Circle","20 seconds","Bright light splits in two","10/10/11"
2011-09-05,"Plonevez du Faou (France)","","Circle","30 minutes","bright white light movement","10/10/11"
2011-09-04,"Waterloo","IA","Circle","50s","4 large orange orbs moving across sky","10/10/11"
2011-09-04,"Ridgway","IL","Circle","5minute","4 smaller objects went into 1 larger, brighter pulsating object that emitted a bright white light for 30sec","10/10/11"
2011-09-03,"Richland","MI","Circle","half hour","Saw many circular obs of light taking off from the Battle Creek, MI are and hovering moving upwards and sideways then disappearing.","10/10/11"
2011-09-03,"Mississauga (Canada)","ON","Circle","2 minutes","I was looking up into the sky when I noticed a flying object over my street. It seemed very far away because I could see a plane flying","10/10/11"
2011-09-03,"Mono Springs","CA","Circle","1 minute","as i stood still i saw a star move then stop then move again and stop then move is a zig zag line.","10/10/11"
2011-09-03,"Lethbridge (Canada)","AB","Circle","8 seconds","5 glowing objects seen while watching an outdoor movie","10/10/11"
2011-09-03,"Rochester (Town of Chili)","NY","Circle","21:30","8-18 red/orange lights seemingly rising from the distant tree line above I-490 westbound after chili center exit south/southwest of my","10/10/11"
2011-09-03,"Windsor","MA","Circle","5 minutes","Myself and a passenger observed a hovering and moving red ball of light while driving in a rural area.","10/10/11"
2011-09-03,"Fitchburg","MA","Circle","2 minute","Orange lights sceen over fitchburg ma.","10/10/11"
2011-09-02,"Batavia","IL","Circle","5 minutes","Orangish orb floating in SE sky. Moved off slowly then disappeared.","10/10/11"
2011-09-02,"Salt Lake City","UT","Circle","4 minutes","3 very bright Orange crafts,  Very low and moving in a triangle formation.  One by one they shot upward and disappered","10/10/11"
2011-09-01,"Morgans Point Resort","TX","Circle","10 minutes","I was leaving a small suburban community to pick my girlfriend up from work, when I was sitting at the stop sign Before turning on the","6/2/13"
2011-09-01,"Friday Harbor","WA","Circle","45 minute","Bright light and a deep rumbling sound with other light.   ((NUFORC Note:  We suspect a twinkling star, possibly Sirius.  PD))","10/10/11"
2011-09-01,"Bremerton","WA","Circle","30 minutes","I saw what looked like a very bright star.  ((NUFORC Note:  We suspect a twinkling star, possibly Sirius.  PD))","10/10/11"
2011-08-31,"Louisburg","NC","Circle","2 minutes","Observed what seemed to be a star that would get brighter and normal bright moving west to east, and when overhead it disappeared!","10/10/11"
2011-08-29,"Brick","NJ","Circle","3 minutes","The cigar/circle shaped craft hovered with lights about it for about three minutes then left.","10/10/11"
2011-08-29,"Alvin","TX","Circle","20 seconds","Star Shooting towards earth and stops in mid air and make a 90 degree turn and slowly moves out of sight.","7/4/12"
2011-08-28,"Puyallup","WA","Circle","5minutes","moving stars in the sky intersecting and disappearing","10/10/11"
2011-08-28,"Tonawanda","NY","Circle","20  minutes","3 redidish organge cicle/spheres seen over Tonawanda NY","10/10/11"
2011-08-28,"Ventura","CA","Circle","4 seconds","a huge circular greenish/blue colored flys through the evening sky in Ventura","10/10/11"
2011-08-28,"Sacramento","CA","Circle","5 minutes","Circular object  scene off I-5 in Sacramento's night sky.","10/10/11"
2011-08-28,"","WA","Circle","1 minutes","I saw an orb like UFO while on vacation.","12/12/11"
2011-08-27,"Riverdale","MI","Circle",". 10 minutes","Glowing round orange object that moved very fast and silently.","10/10/11"
2011-08-27,"Seattle","WA","Circle","5 minutes","Two, bright, reddish-orange lights went across the sky, seemingly close as well as not making any noticeable sound. They headed across","10/10/11"
2011-08-27,"Port Allegany","PA","Circle","15 minutes","red light going across sky","10/10/11"
2011-08-27,"Gurabo (Puerto Rico)","","Circle","3 hours","An object not identified in the sky 8/27/11","10/10/11"
2011-08-26,"Perkasie","PA","Circle","1.5 minutes","Three bright orange circles,flying slowly in a  triangular formation, from SE to NW","10/10/11"
2011-08-26,"Virginia Beach","VA","Circle","About 3 minutes","Possible UFO sighting. Unknown. Orange/dimming ball. Went across the beach towards the ocean.","10/10/11"
2011-08-26,"Orlando","FL","Circle","10 minutes","Circular UFO sighted hiding behind clouds","10/10/11"
2011-08-26,"Pincher Creek (Canada)","AB","Circle"," 2 minutes","Bright white light, seen moving across treeline, while camping in rocky mountains.","10/10/11"
2011-08-25,"Burton","MI","Circle","60 minute","Burton Michigan,green red and white lights 7 or more east part of sky.  ((NUFORC Note:  Probably \"twinkling\" stars?  PD))","10/10/11"
2011-08-25,"Wellesley Island","NY","Circle","2 minutes","Luminous orange object moving across the night sky over Wellesley Island State Park","10/10/11"
2011-08-25,"Mountain Home","ID","Circle","30 seconds","5 bright orange lights seen by 3+  Air Force personnel in Idaho","10/10/11"
2011-08-25,"Amsterdam (Netherlands)","","Circle","","Photo in the day capturing 3 Disk shaped UFO's","8/19/12"
2011-08-24,"Laguna Niguel","CA","Circle","30 seconds","Four Glowing Orbs","10/10/11"
2011-08-24,"Tontogany","OH","Circle","15 minutes","Large aircraft with bright white circular lights on its bottom half that hovered but could also move extremely fast","10/10/11"
2011-08-23,"Lancashire (UK/England)","","Circle","20 minuteuets","Happened yesterday in broad day light and there has been other reports about the same siting in the same area.","10/10/11"
2011-08-23,"Shallowater","TX","Circle","1+ hour","2 silver/white objects. one to the north, one to the northwest.original report was at 7:49pm cdt, and I took a video and reported i","10/10/11"
2011-08-23,"Middlesboro","KY","Circle","1 minute","a big brite light in the sky moving south it was a ufo","10/10/11"
2011-08-21,"Clover","SC","Circle","3 minutes","Large circular flying object that appeared to be on fire.","10/10/11"
2011-08-21,"San Diego","CA","Circle","20 minutes","UFO sphere chrome type in Otay Lakes in Eastlake San Diego","10/10/11"
2011-08-20,"Kingman","AZ","Circle","4 minutes","Orange lights hover over Kingman Fairgrounds","8/21/11"
2011-08-20,"Aurora","OR","Circle","","Small colored lights moving erratically near the I-5 interstate in Oregon.","10/10/11"
2011-08-20,"Poplar Bluff","MO","Circle","5 minute","Three objects in triangle pattern","8/21/11"
2011-08-20,"Mount Vernon","OH","Circle","90 seconds","3 orange glowing lights forming a large triangle","8/21/11"
2011-08-17,"Waterloo","IA","Circle","30s","5 witnesses observed a very bright light, then the object travel outward, then changed direction for a period of 10 seconds .. then sto","8/21/11"
2011-08-17,"Port Jefferson Station","NY","Circle","3:00","Orange circular type object flying smoothly over the nightime sky in Port Jefferson Station, NY.","8/21/11"
2011-08-17,"El Paso","TX","Circle","20 minutes","Circular light above clouds in circular pattern over El Paso, Texas","8/21/11"
2011-08-16,"Siloam Springs","AR","Circle","2 hours","star like object moving slowly in the sky very bright no sound","8/21/11"
2011-08-15,"Boise","ID","Circle","5 minutes","high flying thing.  ((NUFORC Note:  ISS over-flight at 21:57 hrs.; SW to NE.  PD))","8/21/11"
2011-08-15,"Wellington","OH","Circle","1 hour","Bright \"star\" like object exhibiting erratic movements caught on video, along with possible contact?! Scary, unexplained noise on video","8/21/11"
2011-08-14,"Ludington","MI","Circle","hour and half","Big Bright Light","8/21/11"
2011-08-14,"Ewa Beach","HI","Circle","2 minutes","Bright celestial object larger than a star","10/10/11"
2011-08-14,"Auburn","CA","Circle","1 minutes","Bright circular lights flying threw the air in Auburn,Ca.  MILITARY KNOWS. LOOK.","10/10/11"
2011-08-13,"York","ME","Circle","3 minutes","Round orange object traveling south to north over the ocean","8/21/11"
2011-08-13,"Carmichael","CA","Circle","one hour","Seen on YouTube - obviously person filming is in real surprise at seeing so many...","8/21/11"
2011-08-13,"Mashpee","MA","Circle","10 minute","twenty ambers balls moving across the sky in pairs, shoot upwards then disappear.","8/21/11"
2011-08-13,"Fairfield","CA","Circle","5 minute","Large amber colored orb by Travis Airforce base CA","8/21/11"
2011-08-12,"Charlotte","NC","Circle","6 seconds","a circular object with colored lights, moving at medium speed with a swoosh sound but no motor sound","8/21/11"
2011-08-11,"West Salem","WI","Circle","5 seconds","Round sphere moving fast through the sky.","8/21/11"
2011-08-11,"Fort Collins","CO","Circle","5 minutes","White circler object following a commercial airliner.","10/10/11"
2011-08-10,"Inlet","NY","Circle","3 minutes","At 9:50 PM a larger red circle surounded by smaller red cirlces moving slow and steady eastward.","8/21/11"
2011-08-07,"Park Ridge","IL","Circle","30 seconds","Bright red circular light with red light beams in front","8/21/11"
2011-08-07,"Minneapolis","MN","Circle","6 seconds","Round white object over Minneapolis that disappeared","8/21/11"
2011-08-07,"Ocala","FL","Circle","2 minutes","A red glowing ball skipping accross the sky.","8/21/11"
2011-08-06,"Naples","FL","Circle"," 6 seconds","Bright white circle with light blue arura in the night sky.","8/7/11"
2011-08-06,"Guelph (Canada)","ON","Circle","15 minutes","Witnessed 9 bright orange objects, flying in exact formation with 3 flying v formation at front of each group of 3.","8/7/11"
2011-08-06,"Round Rock","TX","Circle","long","My wife and i last night saw a very bright star light object (not a star).It was just moving up very slowly.Im not sure if it was the s","8/7/11"
2011-08-05,"Cheyenne","WY","Circle"," 20 minutes","8/5/11 I observed five round brightly colored objects moving sw to ne quietly at great speed.","8/7/11"
2011-08-04,"Round Rock","TX","Circle","4h","Circle Object Round Rock Tx","8/21/11"
2011-08-03,"Teterboro","NJ","Circle","6 seconds","Round shape metallic object flying in the sky.","8/7/11"
2011-08-02,"Lakeside","CA","Circle","10 minute","Orange circle of light above East County","10/10/11"
2011-08-02,"Albuquerque","NM","Circle","1 minutes","Green, glowing circle being chased through the albuquerque sky by helicopter","8/7/11"
2011-08-02,"Warsaw","NC","Circle","20 minutes","we saw the ufo in smalltown warsaw nc. and helicopters where searching for the craft","8/7/11"
2011-08-01,"Arvada","CO","Circle","30 seconds","10:30  lighted circle over arvada colorado , middle  became   bright and objectfaded away","8/7/11"
2011-08-01,"Poland","ME","Circle","5 minutes","Bright white ball in the sky that stopped and changed direction 90 degrees, airplanes cant do that.","12/20/12"
2011-07-31,"Algonquin","IL","Circle","3 minutes","Glowing Orange Globe moving slowly across sky and then just disappeared, followed 20 min later by another.","8/7/11"
2011-07-30,"Lexington","KY","Circle","45 seconds","orange light","8/7/11"
2011-07-30,"Cary","IL","Circle","4 minutes","Four unidentifiable orange objects hovering silently and slowly moving in the sky above Cary, IL","8/7/11"
2011-07-30,"Bakersfield","CA","Circle","10 minutes","Orange Lights Over Bakersfield California","12/12/11"
2011-07-30,"Brandon","VT","Circle","3 minute","Star imposters","8/7/11"
2011-07-30,"Newington","CT","Circle","came from nth and went","1 orange lights over Newington, CT","8/7/11"
2011-07-30,"Prospect","CT","Circle","15 minutes","8 orange glowing circles float across the sky flying low","8/7/11"
2011-07-30,"Sant Pere Pescador (Spain)","","Circle","10 minutes","I was sitting on the beach in the city I listed in the information and I saw  dots in the sky that looked similar to stars however they","8/5/12"
2011-07-29,"Utica","NY","Circle","5 minutes","8 orange glowing lights in the sky over Utica, NY","8/7/11"
2011-07-29,"Goshen","IN","Circle","15 minutes","8 lights, performing differrent formations, then dissapearing","8/7/11"
2011-07-28,"Blackduck/Bemidji (between)","MN","Circle","A 3 seconds","Bright white light, comes and goes in seconds but disappears mid air","8/7/11"
2011-07-27,"Nashville/Brentwood","TN","Circle","2 minutes","Round fiery object moving across the sky at the same speed a plane travels.","8/7/11"
2011-07-27,"Brookings (near)","SD","Circle","45 seconds","White light getting larger, then smaller and fading away","8/7/11"
2011-07-27,"East Setauket","NY","Circle","2 minutes","Port Jefferson","8/7/11"
2011-07-24,"Ocala","FL","Circle","30 minutes","2 red beamin lights with 5 changing color objects beside it  above ocala florida","8/7/11"
2011-07-24,"Fruita","CO","Circle","4 minutes","Huge, orange orbs over Colorado National Monument","8/7/11"
2011-07-24,"Ewa Beach","HI","Circle","10 seconds","Green ball of light, larger than star, shoots across sky at high speed over Ewa Beach HI.","8/7/11"
2011-07-24,"East Islip","NY","Circle","10 minutes","8 red dots moving in a line slower than a plane, then they all disappeared and one started flashing on long island.","8/7/11"
2011-07-24,"Oak Lawn","IL","Circle"," 1 minutes","Round red/orange ball 1/3 size of full Moon with yellow V-shaped flame inside.","8/7/11"
2011-07-24,"San Antonio","TX","Circle","10 seconds","Orange sphere over TX","8/7/11"
2011-07-23,"Embu das Artes (Brazil)","","Circle","10 hours","Brazil UFO televised explanation thousands of people.","5/15/13"
2011-07-23,"Mesa","AZ","Circle","15 seconds","Big Round Circle UFO Sighting, A.M.","8/7/11"
2011-07-22,"Custer","SD","Circle","5 minutes","Orange Lights East of Custer, SD","8/7/11"
2011-07-21,"Edisto Beach","SC","Circle","4 seconds","2 orange, evenly spaced lights over ocean at Edisto Beach SC 7-21-11.","8/7/11"
2011-07-18,"Clayton","NC","Circle","1/2 hour","Flashing red,blue and white lights.  ((NUFORC Note:  Possible sighting of a \"twinkling\" star, perhaps Arcturus, we suspect.  PD))","8/7/11"
2011-07-17,"Charlevoix","MI","Circle","6 minutes","Charlevoix","8/7/11"
2011-07-17,"Aughnacloy (Northern Ireland)","","Circle","5 minutetues","Aughnacloy (Northern Ireland)","7/17/11"
2011-07-16,"Conover","NC","Circle","3 minutes","Large red glowing light moved across sky and disappeared.","7/17/11"
2011-07-16,"Apple Valley","CA","Circle","15 seconds","red ufo with light beam","7/17/11"
2011-07-16,"Penfield","NY","Circle","15 minutes","12 balls of fire orange light flying from East to West","7/17/11"
2011-07-16,"Orlando (outside of; on 14)","FL","Circle","115 seconds","Bright white light hovering in sky. Hooked around and jetted away.","8/21/11"
2011-07-14,"Cleveland","OH","Circle","3 minute","Orange-red flickering ball floating over lake Erie west of the cuyahoga river. Floated then took of upward and west until disappeared.","7/17/11"
2011-07-14,"Emerald Isle","NC","Circle","5 seconds","Orange light at Emerald Isle beach on July 14, 201.","7/17/11"
2011-07-13,"Aloha","OR","Circle","2 minutes","UFO sighting after power outage","7/17/11"
2011-07-10,"York Beach","ME","Circle","10 minutes","Eight round orange obects observed over York Beach.","8/7/11"
2011-07-10,"Marlington","WV","Circle","2 minute","Was outside in the yard and saw a bright light moving slowly, looked away for a second and it was gone.","7/17/11"
2011-07-09,"Delta","OH","Circle","45 seconds","Yellow round ball of light which made S shaped manueuvers.","7/17/11"
2011-07-09,"Elizabeth","PA","Circle","3 minute","Round black object  on fire  at first - traveling across sky . NO lights!","7/17/11"
2011-07-09,"Medford","NY","Circle","03:00","At 8:00 pm in Medford, NY at my grandfathers (Matthew Accardi)house right before sunset we saw a circular red ufo that look like a red","7/17/11"
2011-07-08,"Fort Bragg","NC","Circle","my house","i saw a circular light and when i opend the curtain it disapered","8/7/11"
2011-07-07,"Machesney Park","IL","Circle","3minutes","5 orange objects in the sky","7/17/11"
2011-07-07,"Sedona","AZ","Circle","I don't know","A circular orange object was observed to be flying through the mountains as a photo was being taken.","8/7/11"
2011-07-07,"Tarpon Springs","FL","Circle","2 minutes","Ball of fire observed in sky.","7/17/11"
2011-07-06,"Maumee","OH","Circle"," an hour","there was a flashing ball of light moving in strange patterns and that hid from a plane.","8/7/11"
2011-07-06,"Strongsville","OH","Circle","3 minutes","Circle of red lights flying smoothly and low with no sound and hovered for a bit before moving on.","8/7/11"
2011-07-06,"Morin Heights (Canada)","QC","Circle","5 minutes","Two \"whitish\" circular lights in the sky moving at a constant speed, without changing direction.","7/17/11"
2011-07-05,"Minersville","PA","Circle","1.5 minutes","Bright white and Red object zig zags across the sky and vanishes","7/6/11"
2011-07-05,"Utah Valley","UT","Circle","15 seconds","Strange opaque light went from left side of the road to right side, disappearing before going to the opposite side.","7/6/11"
2011-07-05,"Mount Pleasant","MI","Circle","5 minutes","2 red objects moving across the sky of Mount Pleasant Michigan","7/6/11"
2011-07-04,"Struthers","OH","Circle","30 seconds","Struthers","7/6/11"
2011-07-04,"St. Louis Park","MN","Circle","4 minutes","Red ball was floating in the sky after the firwork display in SLP, MN","7/17/11"
2011-07-04,"Harrisburg","PA","Circle","3 minutes","Four reddish orange lights in the sky.","7/6/11"
2011-07-04,"Rochester","NY","Circle","30 minutes","Orange Balls Swiftly Gliding Through The Sky In Rochester, N.Y.","7/6/11"
2011-07-04,"Kenosha","WI","Circle","20","Big circular object in the sky","7/6/11"
2011-07-04,"Elk Grove","CA","Circle"," 10 seconds","Four round, lit craft flyhing in a low, v formation over Elk Grove, Ca.","7/6/11"
2011-07-04,"Omaha","NE","Circle","10 minutes","The object was moving abnormally, with orange rectangular lights around the sides of it that went dim and then very bright.","8/21/11"
2011-07-04,"Huntsville","AL","Circle","1hr 15minute","Red moving dot above Alabama on July 4th","8/7/11"
2011-07-04,"Portland","TN","Circle","imately 1 minutes","Addition to Orange/Red Orb July 4th 2011","7/17/11"
2011-07-04,"Berryville","AR","Circle","45 seconds","Circular shaped craft, luminous and silent  with a halo type glow around it flew directly overhead.","7/6/11"
2011-07-04,"Portland","TN","Circle","imately 1 minutes","Orange/Red Orb July 4th 2011","7/17/11"
2011-07-04,"Middletown","CT","Circle","7 minutes","Two orange circle lights flying  side-by-side; one went straight up and the other went off into the distance and both disappeared.","7/6/11"
2011-07-04,"Louisville","KY","Circle","1 minutes","Small fireball object in the sky that moved real slow, stopped  a few seconds and then was gone.","7/6/11"
2011-07-04,"Escondido/Valley Center","CA","Circle","2 minutes","3 more red crafts","7/6/11"
2011-07-04,"Manson","WA","Circle","6 seconds","Unidentified object fades from sight above Lake Chelan near Manson WA","7/17/11"
2011-07-04,"Richmond","KY","Circle","30 minutes","Red Orbs in the sky above Lake Reba in Richmond, KY.","7/17/11"
2011-07-04,"El Cajon","CA","Circle"," 10 minutes","Small red light in the sky, did not waver.","7/6/11"
2011-07-04,"New Berlin","WI","Circle","1 minutes","Orange glowing sphere over New Berlin Wisconsin","7/17/11"
