,age,gender,relation_status,hometown,living,perference,total_action,sign_up,last_login,userid
2657,22,1,4,3,3,4,578,2013-03-10,2013-10-07,2657
2658,18,1,1,6,6,6,294,2012-10-11,2013-10-07,2658
2659,48,1,1,3,3,1,118,2013-05-09,2013-10-07,2659
2660,21,0,2,3,3,2,148,2011-06-19,2013-10-07,2660
2661,23,1,1,4,4,5,140,2013-02-08,2013-10-07,2661
2662,27,0,1,2,3,1,378,2013-04-09,2013-10-07,2662
2663,16,1,1,6,1,4,32,2013-04-09,2013-10-07,2663
2664,24,0,2,2,2,1,129,2012-12-09,2013-10-06,2664
2665,23,0,2,1,1,4,139,2013-02-08,2013-10-07,2665
2666,18,0,2,6,6,6,192,2013-02-08,2013-10-07,2666
2667,21,1,1,6,1,1,257,2011-06-19,2013-10-07,2667
2668,24,1,1,6,1,4,219,2013-04-09,2013-10-07,2668
2669,39,1,4,6,6,5,172,2013-04-09,2013-10-07,2669
2670,16,1,2,3,4,3,248,2011-05-19,2013-10-06,2670
2671,26,0,2,2,3,5,143,2013-02-08,2013-10-07,2671
2672,19,0,1,6,6,3,177,2012-07-13,2013-10-07,2672
2673,17,0,2,3,4,1,288,2013-03-10,2013-10-07,2673
2674,17,0,1,2,2,1,165,2013-04-08,2013-10-06,2674
2675,17,1,2,1,2,3,250,2012-05-14,2013-10-07,2675
2676,22,1,2,6,6,3,37,2012-11-09,2013-10-06,2676
2677,35,0,4,4,5,4,71,2013-05-07,2013-10-05,2677
2678,18,1,1,2,2,5,281,2012-10-11,2013-10-07,2678
2679,21,0,1,3,3,2,97,2013-04-09,2013-10-07,2679
2680,25,1,1,6,1,5,52,2013-05-07,2013-10-05,2680
2681,15,1,1,4,4,6,225,2013-04-09,2013-10-07,2681
2682,23,1,1,3,3,5,336,2013-01-09,2013-10-07,2682
2683,22,1,3,5,6,1,214,2013-04-09,2013-10-07,2683
2684,21,0,2,4,5,5,97,2013-03-09,2013-10-06,2684
2685,21,0,1,6,6,2,337,2011-07-19,2013-10-07,2685
2686,14,1,1,5,5,4,36,2013-03-09,2013-10-06,2686
2687,12,1,1,4,4,5,127,2013-03-09,2013-10-06,2687
2688,25,0,2,4,5,1,168,2013-02-08,2013-10-07,2688
2689,40,1,4,4,4,4,5422,2013-10-01,2013-10-07,2689
2690,29,0,3,6,6,6,29,2013-04-04,2013-10-02,2690
2691,23,0,4,6,6,4,95,2013-01-05,2013-10-03,2691
2692,21,0,1,1,1,3,167,2011-04-20,2013-10-07,2692
2693,19,0,1,1,2,4,165,2012-04-13,2013-10-06,2693
2694,38,0,4,5,5,6,70,2013-05-09,2013-10-07,2694
2695,16,0,1,4,4,6,327,2013-02-08,2013-10-07,2695
2696,13,0,4,2,2,2,130,2013-02-08,2013-10-07,2696
2697,21,0,1,6,6,5,133,2010-09-22,2013-10-07,2697
2698,31,1,4,3,4,3,146,2013-04-08,2013-10-06,2698
2699,18,1,2,3,3,3,76,2013-10-07,2013-10-07,2699
2700,17,1,1,6,6,4,130,2012-02-14,2013-10-07,2700
2701,28,0,1,5,5,4,68,2013-04-08,2013-10-06,2701
2702,20,0,2,2,3,3,1016,2011-06-19,2013-10-07,2702
2703,16,0,1,6,6,6,6,2013-05-09,2013-10-07,2703
2704,16,0,2,3,3,3,103,2009-11-25,2013-10-06,2704
2705,18,0,4,1,1,1,219,2012-11-10,2013-10-07,2705
2706,22,1,2,3,4,2,100,2013-02-08,2013-10-07,2706
2707,22,1,1,3,3,1,639,2013-03-10,2013-10-07,2707
2708,16,1,1,3,3,3,101,2013-04-09,2013-10-07,2708
2709,18,1,2,3,3,6,182,2012-08-11,2013-10-06,2709
2710,24,1,4,3,3,2,158,2013-04-09,2013-10-07,2710
2711,19,1,1,5,6,6,330,2011-04-20,2013-10-07,2711
2712,22,1,2,4,4,4,284,2012-09-11,2013-10-07,2712
2713,21,1,2,6,1,5,480,2013-04-09,2013-10-07,2713
2714,19,1,1,3,3,1,284,2012-11-10,2013-10-07,2714
2715,30,1,1,5,6,5,200,2013-04-09,2013-10-07,2715
2716,18,1,4,4,4,6,51,2011-12-16,2013-10-07,2716
2717,24,0,2,6,6,5,209,2013-04-09,2013-10-07,2717
2718,20,0,2,6,6,6,225,2012-11-10,2013-10-07,2718
2719,17,1,1,2,2,1,42,2013-04-08,2013-10-06,2719
2720,24,0,2,4,4,4,206,2013-04-09,2013-10-07,2720
2721,22,1,1,4,4,4,132,2012-12-09,2013-10-06,2721
2722,21,0,1,4,4,6,187,2012-05-14,2013-10-07,2722
2723,47,1,4,5,5,4,46,2013-05-07,2013-10-05,2723
2724,22,1,4,1,1,2,555,2012-10-11,2013-10-07,2724
2725,10,1,2,4,4,5,113,2013-03-10,2013-10-07,2725
2726,23,0,1,2,2,2,43,2010-06-23,2013-10-06,2726
2727,10,1,1,6,6,6,159,2013-05-09,2013-10-07,2727
2728,13,0,1,2,2,2,217,2013-02-08,2013-10-07,2728
2729,25,1,2,4,4,6,212,2013-04-09,2013-10-07,2729
2730,19,0,1,5,5,5,327,2013-01-08,2013-10-06,2730
2731,23,1,2,3,4,1,195,2013-04-08,2013-10-06,2731
2732,17,0,1,4,5,6,136,2013-02-08,2013-10-07,2732
2733,18,0,2,3,3,3,51,2012-08-10,2013-10-05,2733
2734,20,1,1,1,2,2,157,2012-04-14,2013-10-07,2734
2735,26,1,4,5,5,4,183,2013-04-09,2013-10-07,2735
2736,26,0,4,3,4,1,161,2013-04-09,2013-10-07,2736
2737,25,0,1,4,4,5,422,2013-05-09,2013-10-07,2737
2738,39,1,4,3,3,3,298,2013-05-09,2013-10-07,2738
2739,25,0,4,2,2,1,164,2013-02-07,2013-10-06,2739
2740,19,0,1,1,1,3,258,2010-12-21,2013-10-07,2740
2741,23,1,2,6,1,4,89,2011-04-20,2013-10-07,2741
2742,4,0,1,2,2,2,55,2013-05-08,2013-10-06,2742
2743,50,0,1,3,3,1,136,2013-05-08,2013-10-06,2743
2744,17,1,2,3,3,1,206,2013-01-09,2013-10-07,2744
2745,21,1,2,4,5,6,660,2010-10-22,2013-10-07,2745
2746,18,0,1,4,4,4,144,2013-04-08,2013-10-06,2746
2747,16,0,1,3,3,3,0,2013-02-18,2013-08-18,2747
2748,24,1,2,6,6,4,72,2012-10-11,2013-10-07,2748
2749,28,1,4,5,6,6,86,2013-03-10,2013-10-07,2749
2750,25,1,1,3,3,1,98,2013-04-09,2013-10-07,2750
2751,45,1,1,5,5,5,32,2013-03-08,2013-10-05,2751
2752,21,1,4,3,3,1,1131,2012-06-13,2013-10-07,2752
2753,16,1,2,3,4,1,259,2013-03-10,2013-10-07,2753
2754,38,1,1,4,5,1,32,2013-04-03,2013-10-01,2754
2755,19,0,4,6,6,6,393,2013-02-08,2013-10-07,2755
2756,18,1,1,2,2,2,287,2013-04-08,2013-10-06,2756
2757,12,1,2,5,5,3,138,2013-04-09,2013-10-07,2757
2758,23,0,2,4,5,4,247,2012-04-14,2013-10-07,2758
2759,13,1,4,5,5,4,261,2013-03-09,2013-10-06,2759
2760,38,1,4,1,2,3,30,2013-04-09,2013-10-07,2760
2761,23,1,4,1,1,3,58,2013-03-07,2013-10-04,2761
2762,19,0,1,5,5,5,250,2013-03-10,2013-10-07,2762
2763,20,1,1,5,6,4,132,2012-05-14,2013-10-07,2763
2764,26,0,4,2,2,3,118,2013-03-10,2013-10-07,2764
2765,25,0,4,2,2,5,89,2013-05-08,2013-10-06,2765
2766,43,0,4,4,4,6,68,2013-04-08,2013-10-06,2766
2767,20,1,1,5,5,3,121,2013-01-09,2013-10-07,2767
2768,13,0,1,6,6,6,93,2013-03-10,2013-10-07,2768
2769,14,0,2,5,6,5,268,2013-03-10,2013-10-07,2769
2770,22,1,4,6,6,6,310,2013-04-09,2013-10-07,2770
2771,23,0,1,2,2,2,152,2013-05-09,2013-10-07,2771
2772,14,0,1,4,4,3,383,2013-10-06,2013-10-07,2772
2773,24,0,1,4,4,6,268,2013-03-10,2013-10-07,2773
2774,21,1,2,6,6,4,118,2013-01-07,2013-10-05,2774
2775,19,1,1,3,3,3,401,2011-11-16,2013-10-07,2775
2776,20,0,1,4,4,5,421,2013-04-08,2013-10-06,2776
2777,18,1,2,1,2,1,417,2013-03-10,2013-10-07,2777
2778,28,1,4,6,6,5,95,2013-04-09,2013-10-07,2778
2779,18,0,1,5,6,4,267,2013-02-08,2013-10-07,2779
2780,24,0,3,3,3,2,59,2013-02-08,2013-10-07,2780
2781,23,0,2,4,5,4,118,2013-02-07,2013-10-06,2781
2782,13,1,1,1,1,3,73,2013-05-09,2013-10-07,2782
2783,17,0,4,3,3,5,122,2013-03-10,2013-10-07,2783
2784,16,0,4,4,4,6,328,2012-07-13,2013-10-07,2784
2785,19,1,1,2,2,3,113,2013-04-09,2013-10-07,2785
2786,32,0,1,5,5,6,64,2013-03-08,2013-10-05,2786
2787,17,1,1,1,1,2,277,2013-03-09,2013-10-06,2787
2788,25,0,4,1,1,1,210,2013-01-09,2013-10-07,2788
2789,20,1,2,5,5,6,120,2013-03-09,2013-10-06,2789
2790,26,0,2,4,4,5,166,2013-04-09,2013-10-07,2790
2791,20,1,1,3,3,2,135,2011-02-19,2013-10-07,2791
2792,23,0,2,3,3,2,244,2013-02-07,2013-10-06,2792
2793,24,1,1,1,1,3,133,2013-04-08,2013-10-06,2793
2794,24,0,1,6,1,6,205,2013-02-07,2013-10-06,2794
2795,30,1,4,4,5,6,183,2013-04-09,2013-10-07,2795
2796,21,1,1,4,5,4,266,2013-04-09,2013-10-07,2796
2797,24,0,2,1,2,3,157,2013-05-09,2013-10-07,2797
2798,19,1,1,5,5,4,177,2013-03-10,2013-10-07,2798
2799,18,0,1,6,6,6,361,2013-03-10,2013-10-07,2799
2800,18,0,4,5,5,4,137,2012-12-09,2013-10-06,2800
2801,19,0,4,1,1,2,95,2010-03-25,2013-10-06,2801
2802,20,1,1,4,4,5,356,2010-12-21,2013-10-07,2802
2803,24,0,4,3,3,1,42,2013-04-09,2013-10-07,2803
2804,47,1,1,4,4,4,167,2013-03-10,2013-10-07,2804
2805,26,1,2,4,4,5,183,2013-03-10,2013-10-07,2805
2806,13,1,1,6,6,4,257,2013-02-08,2013-10-07,2806
2807,17,1,1,5,5,4,80,2012-12-09,2013-10-06,2807
2808,30,1,4,2,2,1,190,2013-05-09,2013-10-07,2808
2809,18,0,1,6,1,4,507,2013-02-08,2013-10-07,2809
2810,18,0,1,5,5,5,243,2012-12-10,2013-10-07,2810
2811,42,0,4,5,5,5,54,2013-04-09,2013-10-07,2811
2812,18,0,2,6,6,6,214,2013-03-10,2013-10-07,2812
2813,18,1,4,6,1,4,416,2012-11-10,2013-10-07,2813
2814,18,1,1,3,4,2,383,2011-08-18,2013-10-07,2814
2815,41,0,4,6,6,4,262,2013-01-09,2013-10-07,2815
2816,49,1,4,5,5,5,219,2013-03-09,2013-10-06,2816
2817,24,0,2,5,5,6,137,2012-12-10,2013-10-07,2817
2818,23,1,2,4,4,5,126,2013-03-10,2013-10-07,2818
2819,16,1,2,4,4,5,218,2013-03-08,2013-10-05,2819
2820,21,0,2,2,2,2,184,2012-10-10,2013-10-06,2820
2821,27,1,3,2,2,4,139,2013-02-08,2013-10-07,2821
2822,17,0,1,6,6,6,47,2013-04-09,2013-10-07,2822
2823,22,1,1,1,1,1,237,2012-11-09,2013-10-06,2823
2824,18,1,4,3,3,1,3886,2013-10-03,2013-10-07,2824
2825,17,0,1,3,3,2,417,2013-03-10,2013-10-07,2825
2826,21,0,2,3,3,6,186,2011-04-20,2013-10-07,2826
2827,22,1,2,5,5,5,185,2013-02-08,2013-10-07,2827
2828,13,1,2,2,2,3,114,2013-04-09,2013-10-07,2828
2829,22,0,1,4,5,6,405,2013-02-08,2013-10-07,2829
2830,17,0,2,4,4,5,122,2013-02-08,2013-10-07,2830
2831,15,0,1,3,3,2,55,2013-04-09,2013-10-07,2831
2832,23,0,4,4,4,4,78,2013-01-09,2013-10-07,2832
2833,44,1,4,5,5,5,137,2013-03-10,2013-10-07,2833
2834,19,1,1,5,5,5,235,2011-11-16,2013-10-07,2834
2835,16,0,1,4,4,4,265,2013-03-09,2013-10-06,2835
2836,20,0,1,5,6,5,367,2010-12-21,2013-10-07,2836
2837,16,1,1,6,6,4,310,2011-09-17,2013-10-07,2837
2838,42,0,4,3,3,2,45,2013-03-10,2013-10-07,2838
2839,24,0,1,3,3,1,187,2013-04-09,2013-10-07,2839
2840,22,1,1,2,2,3,487,2013-02-07,2013-10-06,2840
2841,49,0,4,3,3,3,115,2013-05-09,2013-10-07,2841
2842,17,1,2,1,1,4,135,2010-06-24,2013-10-07,2842
2843,35,0,4,3,3,1,162,2013-04-09,2013-10-07,2843
2844,18,0,2,3,4,1,541,2010-08-23,2013-10-07,2844
2845,18,1,4,2,2,1,323,2012-11-10,2013-10-07,2845
2846,22,1,4,4,4,5,369,2013-03-10,2013-10-07,2846
2847,30,0,4,1,2,2,367,2013-04-09,2013-10-07,2847
2848,20,1,2,3,4,2,711,2013-02-08,2013-10-07,2848
2849,15,0,4,3,3,1,227,2013-03-09,2013-10-06,2849
2850,23,0,2,1,1,1,445,2013-03-10,2013-10-07,2850
2851,41,1,4,1,1,3,245,2013-04-09,2013-10-07,2851
2852,18,0,1,1,2,1,495,2012-08-11,2013-10-06,2852
2853,21,1,2,2,2,2,94,2012-09-10,2013-10-06,2853
2854,20,0,2,5,5,4,473,2011-05-20,2013-10-07,2854
2855,27,0,3,1,1,1,122,2013-05-09,2013-10-07,2855
2856,35,0,4,3,4,1,91,2013-04-08,2013-10-06,2856
2857,22,1,4,6,6,6,376,2012-07-13,2013-10-07,2857
2858,27,0,1,2,2,3,130,2013-04-08,2013-10-06,2858
2859,14,1,2,4,4,5,122,2013-01-09,2013-10-07,2859
2860,24,1,2,1,1,3,183,2013-03-10,2013-10-07,2860
2861,14,0,1,2,2,3,48,2013-04-07,2013-10-05,2861
2862,21,0,1,2,2,2,287,2010-08-23,2013-10-07,2862
2863,25,1,2,1,2,1,522,2013-04-09,2013-10-07,2863
2864,21,0,1,2,3,1,225,2013-04-09,2013-10-07,2864
2865,20,0,2,6,6,3,273,2011-08-18,2013-10-07,2865
2866,18,0,1,5,5,5,174,2013-04-09,2013-10-07,2866
2867,18,1,2,4,4,5,173,2009-09-25,2013-10-05,2867
2868,17,1,1,5,6,5,77,2013-03-09,2013-10-06,2868
2869,15,0,2,2,3,3,322,2013-03-09,2013-10-06,2869
2870,22,1,1,5,6,6,130,2013-02-07,2013-10-06,2870
2871,10,1,4,3,3,3,242,2013-10-07,2013-10-07,2871
2872,17,0,1,5,6,5,85,2013-05-07,2013-10-05,2872
2873,44,0,4,1,1,2,87,2013-03-08,2013-10-05,2873
2874,13,0,1,3,3,2,140,2013-04-09,2013-10-07,2874
2875,39,0,4,1,2,3,74,2013-03-09,2013-10-06,2875
2876,36,0,4,3,3,1,279,2013-06-07,2013-10-06,2876
2877,25,1,1,3,4,2,116,2013-04-08,2013-10-06,2877
2878,20,0,1,1,1,3,379,2013-04-09,2013-10-07,2878
2879,14,0,4,3,3,4,51,2013-03-10,2013-10-07,2879
2880,16,1,1,5,5,6,95,2013-02-08,2013-10-07,2880
2881,28,0,2,3,3,5,189,2013-03-10,2013-10-07,2881
2882,19,0,4,5,5,4,532,2012-09-11,2013-10-07,2882
2883,21,1,2,4,5,6,55,2013-03-08,2013-10-05,2883
2884,14,1,1,2,2,5,165,2013-04-09,2013-10-07,2884
2885,39,0,4,4,4,4,36,2013-05-08,2013-10-06,2885
2886,24,0,2,2,2,3,257,2013-04-09,2013-10-07,2886
2887,29,0,3,4,4,4,60,2013-05-09,2013-10-07,2887
2888,12,1,2,6,6,6,183,2013-05-09,2013-10-07,2888
2889,25,1,2,4,4,6,264,2013-03-10,2013-10-07,2889
2890,31,1,4,2,3,6,293,2013-03-10,2013-10-07,2890
2891,19,1,1,4,5,4,620,2012-02-14,2013-10-07,2891
2892,16,1,1,5,6,6,114,2013-04-09,2013-10-07,2892
2893,23,1,1,5,6,5,150,2013-01-08,2013-10-06,2893
2894,21,0,1,3,3,2,172,2010-10-19,2013-10-04,2894
2895,20,1,2,3,3,5,530,2010-02-24,2013-10-07,2895
2896,15,1,1,1,1,1,50,2013-04-09,2013-10-07,2896
2897,12,0,1,4,4,5,13,2013-04-07,2013-10-05,2897
2898,24,0,2,5,6,4,147,2013-02-08,2013-10-07,2898
2899,13,1,2,3,3,2,139,2013-04-09,2013-10-07,2899
2900,28,1,2,6,6,4,64,2013-04-09,2013-10-07,2900
2901,35,0,4,5,5,2,231,2013-05-09,2013-10-07,2901
2902,20,0,2,3,3,4,294,2010-07-23,2013-10-06,2902
2903,16,0,1,3,4,3,193,2013-04-09,2013-10-07,2903
2904,19,0,2,2,2,3,315,2012-09-10,2013-10-06,2904
2905,15,0,1,5,6,6,93,2013-04-07,2013-10-05,2905
2906,22,0,2,3,3,3,66,2011-05-19,2013-10-06,2906
2907,16,0,1,3,3,1,195,2012-07-13,2013-10-07,2907
2908,44,1,4,6,6,4,12,2013-02-07,2013-10-06,2908
2909,19,0,1,5,6,3,292,2012-05-14,2013-10-07,2909
2910,21,1,2,6,6,4,503,2012-07-13,2013-10-07,2910
2911,19,1,1,3,3,1,329,2010-02-23,2013-10-06,2911
2912,16,1,2,4,4,4,98,2013-03-10,2013-10-07,2912
2913,15,1,1,3,3,6,199,2013-02-07,2013-10-06,2913
2914,27,0,4,5,5,4,69,2013-05-09,2013-10-07,2914
2915,48,0,4,4,5,5,241,2013-04-09,2013-10-07,2915
2916,22,1,1,1,2,2,129,2011-06-18,2013-10-06,2916
2917,18,1,2,3,3,1,146,2013-01-04,2013-10-02,2917
2918,24,1,4,5,5,6,102,2013-03-10,2013-10-07,2918
2919,13,0,4,4,5,5,229,2013-03-10,2013-10-07,2919
2920,25,0,2,3,4,1,13,2013-04-04,2013-10-02,2920
2921,25,1,1,3,3,1,187,2013-03-10,2013-10-07,2921
2922,19,0,2,4,4,4,406,2011-11-16,2013-10-07,2922
2923,21,0,2,2,3,1,187,2012-09-11,2013-10-07,2923
2924,16,1,2,4,4,6,86,2013-03-10,2013-10-07,2924
2925,9,1,4,1,2,3,160,2013-04-09,2013-10-07,2925
2926,37,0,1,1,1,3,291,2013-04-08,2013-10-06,2926
2927,32,1,4,6,6,5,227,2013-03-10,2013-10-07,2927
2928,22,0,1,2,2,4,429,2012-11-10,2013-10-07,2928
2929,24,1,1,6,1,5,224,2013-04-09,2013-10-07,2929
2930,28,1,1,2,2,3,48,2013-04-09,2013-10-07,2930
2931,24,0,2,5,5,4,109,2013-02-08,2013-10-07,2931
2932,19,0,4,4,5,4,217,2010-05-25,2013-10-07,2932
2933,13,0,2,1,1,3,43,2013-05-08,2013-10-06,2933
2934,20,0,1,4,4,5,241,2010-08-23,2013-10-07,2934
2935,15,0,1,6,6,6,116,2013-01-08,2013-10-06,2935
2936,16,1,2,6,6,5,149,2013-03-10,2013-10-07,2936
2937,29,1,3,5,5,6,162,2013-04-09,2013-10-07,2937
2938,15,0,1,5,6,5,110,2013-02-08,2013-10-07,2938
2939,42,1,4,3,3,6,145,2013-05-09,2013-10-07,2939
2940,18,1,2,5,5,6,586,2013-03-10,2013-10-07,2940
2941,23,1,4,6,6,5,122,2013-03-09,2013-10-06,2941
2942,26,0,4,2,2,1,33,2013-04-09,2013-10-07,2942
2943,24,1,2,5,5,6,67,2013-01-09,2013-10-07,2943
2944,24,0,2,5,5,5,118,2013-04-09,2013-10-07,2944
2945,23,1,1,3,3,2,329,2013-03-10,2013-10-07,2945
2946,12,0,1,4,4,6,65,2013-04-09,2013-10-07,2946
2947,36,1,4,1,2,1,14,2013-04-08,2013-10-06,2947
2948,42,1,4,1,1,3,128,2013-04-09,2013-10-07,2948
2949,17,1,1,6,6,6,79,2013-03-09,2013-10-06,2949
2950,25,1,2,3,3,1,412,2013-05-09,2013-10-07,2950
2951,13,1,1,1,1,2,357,2013-04-09,2013-10-07,2951
2952,28,0,4,3,3,1,124,2012-08-12,2013-10-07,2952
2953,20,0,1,2,3,1,520,2013-05-09,2013-10-07,2953
2954,11,1,4,2,2,1,160,2013-04-06,2013-10-04,2954
2955,14,1,2,2,3,3,88,2013-03-09,2013-10-06,2955
2956,19,0,1,4,4,4,444,2012-06-13,2013-10-07,2956
2957,48,1,4,4,4,6,108,2013-03-07,2013-10-04,2957
2958,24,0,4,5,5,4,211,2013-03-10,2013-10-07,2958
2959,20,1,1,3,3,1,135,2010-12-21,2013-10-07,2959
2960,20,0,1,5,5,4,301,2012-06-13,2013-10-07,2960
2961,20,1,1,3,4,2,253,2010-08-23,2013-10-07,2961
2962,20,1,2,2,3,2,589,2011-05-19,2013-10-06,2962
2963,16,1,2,5,5,6,158,2013-02-07,2013-10-06,2963
2964,21,1,2,5,5,2,108,2011-09-16,2013-10-06,2964
2965,23,1,1,6,1,4,85,2013-02-08,2013-10-07,2965
2966,19,0,1,2,3,1,121,2012-02-13,2013-10-06,2966
2967,23,1,1,4,5,6,51,2013-02-06,2013-10-05,2967
2968,20,0,2,2,2,2,291,2013-04-09,2013-10-07,2968
2969,14,0,1,6,6,2,335,2013-04-09,2013-10-07,2969
2970,21,1,2,5,6,6,200,2012-08-12,2013-10-07,2970
2971,26,1,4,3,3,3,51,2013-04-09,2013-10-07,2971
2972,20,1,4,4,4,5,320,2013-01-09,2013-10-07,2972
2973,26,0,2,3,3,3,100,2012-11-04,2013-10-01,2973
2974,9,0,4,5,5,6,286,2013-04-09,2013-10-07,2974
2975,23,1,1,1,1,3,176,2013-04-09,2013-10-07,2975
2976,15,1,1,6,6,5,248,2013-04-09,2013-10-07,2976
2977,19,1,1,6,6,6,108,2012-10-11,2013-10-07,2977
2978,26,0,1,4,4,4,95,2013-03-08,2013-10-05,2978
2979,20,0,2,2,2,2,214,2013-04-08,2013-10-06,2979
2980,24,0,4,4,4,6,86,2013-02-06,2013-10-05,2980
2981,18,1,2,1,1,3,244,2012-12-10,2013-10-07,2981
2982,26,0,1,3,3,3,147,2013-03-09,2013-10-06,2982
2983,31,1,4,5,5,6,140,2013-02-08,2013-10-07,2983
2984,27,0,3,1,2,2,172,2013-04-09,2013-10-07,2984
2985,21,1,2,2,3,3,38,2012-12-10,2013-10-07,2985
2986,15,1,2,4,4,4,319,2013-04-08,2013-10-06,2986
2987,16,0,2,2,2,3,177,2013-06-08,2013-10-07,2987
2988,21,1,2,4,4,6,319,2011-09-17,2013-10-07,2988
2989,14,0,1,2,2,5,278,2013-01-09,2013-10-07,2989
2990,25,1,4,2,3,1,83,2013-04-09,2013-10-07,2990
2991,15,1,1,1,1,1,156,2013-03-09,2013-10-06,2991
2992,28,0,1,2,2,1,47,2013-03-09,2013-10-06,2992
2993,32,0,4,1,1,1,91,2013-04-08,2013-10-06,2993
2994,18,1,2,6,6,1,138,2013-01-09,2013-10-07,2994
2995,22,1,4,1,1,5,171,2013-03-10,2013-10-07,2995
2996,20,0,4,5,5,2,212,2012-02-14,2013-10-07,2996
2997,26,1,2,5,5,2,251,2013-03-10,2013-10-07,2997
2998,19,0,2,6,6,5,359,2009-10-27,2013-10-07,2998
2999,13,0,2,5,6,1,96,2013-05-09,2013-10-07,2999
3000,19,1,4,1,2,3,203,2012-10-11,2013-10-07,3000
3001,23,1,2,2,3,2,116,2013-04-08,2013-10-06,3001
3002,23,1,1,5,5,6,102,2013-04-09,2013-10-07,3002
3003,14,0,2,3,3,1,191,2013-04-09,2013-10-07,3003
3004,17,0,2,1,1,3,79,2012-06-13,2013-10-07,3004
3005,21,1,4,6,1,4,146,2013-04-09,2013-10-07,3005
3006,22,0,2,2,2,6,161,2013-03-09,2013-10-06,3006
3007,41,0,1,2,2,1,147,2013-04-09,2013-10-07,3007
3008,19,1,2,4,4,6,683,2012-08-11,2013-10-06,3008
3009,16,0,1,5,5,5,83,2009-10-27,2013-10-07,3009
3010,19,1,1,3,3,1,152,2013-03-08,2013-10-05,3010
3011,24,1,2,3,3,3,556,2011-11-16,2013-10-07,3011
3012,27,0,3,1,1,1,124,2010-04-25,2013-10-07,3012
3013,17,0,2,1,1,3,144,2013-02-08,2013-10-07,3013
3014,22,0,1,6,6,4,182,2012-12-10,2013-10-07,3014
3015,42,1,4,1,2,2,236,2013-04-09,2013-10-07,3015
3016,18,0,2,2,3,3,402,2012-10-11,2013-10-07,3016
3017,22,0,2,6,6,4,331,2012-01-15,2013-10-07,3017
3018,50,0,4,4,4,5,71,2013-04-09,2013-10-07,3018
3019,20,0,2,2,2,1,451,2010-01-25,2013-10-07,3019
3020,20,1,2,2,2,2,317,2011-09-17,2013-10-07,3020
3021,21,0,2,4,4,5,190,2011-04-19,2013-10-06,3021
3022,15,0,1,2,2,1,103,2013-05-09,2013-10-07,3022
3023,14,1,2,5,5,3,321,2013-04-08,2013-10-06,3023
3024,16,1,1,1,1,2,145,2013-05-09,2013-10-07,3024
3025,24,1,4,1,1,1,357,2013-02-08,2013-10-07,3025
3026,22,0,2,5,6,2,128,2012-10-11,2013-10-07,3026
3027,29,1,2,5,5,2,36,2013-04-08,2013-10-06,3027
3028,15,0,2,2,2,3,151,2013-04-09,2013-10-07,3028
3029,26,1,3,4,4,2,662,2013-04-09,2013-10-07,3029
3030,19,0,1,2,2,1,312,2011-10-16,2013-10-06,3030
3031,25,1,1,4,5,2,332,2013-10-06,2013-10-07,3031
3032,32,1,1,2,2,2,344,2013-04-08,2013-10-06,3032
3033,24,0,1,6,6,5,301,2013-03-10,2013-10-07,3033
3034,10,1,1,3,3,2,105,2013-03-09,2013-10-06,3034
3035,23,0,2,6,1,4,146,2013-03-10,2013-10-07,3035
3036,19,1,1,6,6,6,81,2012-09-10,2013-10-06,3036
3037,17,0,1,6,1,4,126,2012-12-09,2013-10-06,3037
3038,19,1,2,1,2,3,237,2011-11-16,2013-10-07,3038
3039,26,1,4,1,1,2,124,2013-02-08,2013-10-07,3039
3040,30,1,4,1,1,3,38,2013-04-08,2013-10-06,3040
3041,28,1,4,2,2,2,266,2013-03-10,2013-10-07,3041
3042,15,1,2,1,1,1,166,2013-04-09,2013-10-07,3042
3043,32,0,1,1,1,2,122,2013-04-09,2013-10-07,3043
3044,20,1,4,4,4,5,263,2012-08-12,2013-10-07,3044
3045,15,1,4,3,3,2,33,2013-05-09,2013-10-07,3045
3046,19,1,1,6,6,6,460,2010-06-24,2013-10-07,3046
3047,27,0,1,2,2,2,72,2013-03-10,2013-10-07,3047
3048,21,1,1,6,6,4,156,2012-03-15,2013-10-07,3048
3049,16,0,1,3,3,3,153,2013-04-08,2013-10-06,3049
3050,15,0,1,2,2,3,339,2013-04-09,2013-10-07,3050
3051,40,0,1,4,4,6,98,2013-05-09,2013-10-07,3051
3052,15,1,1,3,3,1,137,2013-02-08,2013-10-07,3052
3053,25,0,2,4,4,4,170,2013-04-08,2013-10-06,3053
3054,10,0,4,4,5,6,140,2013-04-08,2013-10-06,3054
3055,14,1,1,4,4,4,127,2013-03-10,2013-10-07,3055
3056,25,0,4,1,1,6,74,2013-04-08,2013-10-06,3056
3057,38,1,4,2,2,1,119,2013-04-08,2013-10-06,3057
3058,15,0,4,1,1,3,36,2013-04-04,2013-10-02,3058
3059,29,0,4,5,5,4,314,2013-03-10,2013-10-07,3059
3060,15,1,4,2,2,3,395,2013-03-10,2013-10-07,3060
3061,11,0,4,6,6,6,161,2013-04-09,2013-10-07,3061
3062,25,1,1,1,1,4,277,2013-03-10,2013-10-07,3062
3063,19,1,1,2,2,2,266,2009-12-26,2013-10-07,3063
3064,21,0,1,6,1,5,107,2011-10-15,2013-10-05,3064
3065,21,0,2,3,4,3,254,2012-06-13,2013-10-07,3065
3066,24,1,2,6,6,1,69,2013-05-08,2013-10-06,3066
